,traveller_username,date,covid,star,rating,aspect_sentiment,count_topic_0,count_topic_2,count_topic_4,topic_0,topic_2,topic_4,count_topic_3,count_topic_1,topic_3,topic_1
49,kcatan926987,2023-07-01,PostCovid,4,,[],,,,,,,,,,
50,Naz,2023-08-01,PostCovid,4,,"[[staff, clean, 1], [place, welcom, 0]]",1.0,,,0.0,,,,1.0,,0.3666666666666667
51,hrfrynsa,2023-08-01,PostCovid,4,,"[[friendli, great, 1], [friendli, great, 1], [room, standard, 2]]",,1.0,,,0.0,,,2.0,,0.8
52,plutz610094,2023-08-01,PostCovid,4,,"[[breakfast, great, 3]]",,,,,,,1.0,,0.8,
53,301,2023-04-01,PostCovid,4,,"[[hotel, good, 0], [check, free, 4], [pool, top, 3], [pool, swim, 3]]",1.0,,1.0,0.7,,0.4,2.0,,0.25,
54,Yuling10,2023-07-01,PostCovid,4,,[],,,,,,,,,,
55,diyanahong,2023-07-01,PostCovid,4,,[],,,,,,,,,,
56,Donna A,2023-07-01,PostCovid,4,5.0,"[[love, big, 1], [food, great, 0]]",1.0,,,0.8,,,,1.0,,0.25
57,amyloh,2023-07-01,PostCovid,4,4.0,"[[hotel, free, 0], [room, better, 2]]",1.0,1.0,,0.4,0.5,,,,,
58,hiw2fwspph,2023-07-01,PostCovid,4,,"[[room, nice, 2]]",,1.0,,,0.6,,,,,
59,btaylo794212,2023-07-01,PostCovid,4,,[],,,,,,,,,,
60,Trail48459428666,2023-07-01,PostCovid,4,,[],,,,,,,,,,
61,20enkhbolde,2023-07-01,PostCovid,4,,"[[hotel, nice, 0], [hotel, servic, 0], [work, good, 2]]",2.0,1.0,,0.3,0.7,,,,,
62,Vish S,2023-07-01,PostCovid,4,,"[[staff, rude, 1], [day, next, 4], [room, extra, 2], [hotel, worst, 0], [hotel, 'even worst', 0]]",2.0,1.0,1.0,-1.0,0.0,0.0,,1.0,,-0.3
63,rnabiev,2023-07-01,PostCovid,4,,[],,,,,,,,,,
