,traveller_username,date,covid,star,rating,aspect_sentiment,count_topic_0,count_topic_2,count_topic_4,topic_0,topic_2,topic_4,count_topic_3,count_topic_1,topic_3,topic_1
4606,Mrs M,2022-12-01,PostCovid,4,,"[[friendli, super, 1]]",,,,,,,,1.0,,0.3333333333333333
4607,henamathew,2022-12-01,PostCovid,4,,"[[room, qualiti, 2], [bathroom, poor, 2], [room, poor, 2]]",,3.0,,,-0.26666666666666666,,,,,
4608,reeceyb,2022-11-01,PostCovid,4,,"[[walk, great, 0], [bathroom, great, 2]]",1.0,1.0,,0.8,0.8,,,,,
4609,peteravery2022,2022-11-01,PostCovid,4,,[],,,,,,,,,,
4610,anth0nylam,2022-11-01,PostCovid,4,,"[[room, decent, 2], [staff, great, 1]]",,1.0,,,0.16666666666666666,,,1.0,,0.8
4611,mineshg786,2022-12-01,PostCovid,4,,[],,,,,,,,,,
4612,turstephquinn,2022-11-01,PostCovid,4,,"[[hotel, singapor, 0]]",1.0,,,0.0,,,,,,
4613,Lovey G,2022-11-01,PostCovid,4,,[],,,,,,,,,,
4614,snasser2022,2022-11-01,PostCovid,4,,"[[place, best, 0]]",1.0,,,1.0,,,,,,
4615,Elliot,2022-11-01,PostCovid,4,,"[[room, basic, 2]]",,1.0,,,0.0,,,,,
4616,rajivjain1003,2022-11-01,PostCovid,4,,"[[room, small, 2], [room, good, 2]]",,2.0,,,0.22499999999999998,,,,,
4617,Shane J,2022-11-01,PostCovid,4,,"[[day, neat, 4], [day, 'alway neat', 4], [day, tidi, 4], [shop, close, 0], [room, someth, 2]]",1.0,1.0,3.0,0.0,0.0,0.0,,,,
4618,Ervinna76,2022-11-01,PostCovid,4,,[],,,,,,,,,,
4619,LanaSvM,2022-11-01,PostCovid,4,,"[[room, averag, 2], [bed, fresh, 3]]",,1.0,,,0.0,,1.0,,0.3,
4620,pwang904,2022-10-01,PostCovid,4,,[],,,,,,,,,,
4621,Brenda933,2022-11-01,PostCovid,4,,"[[room, good, 2], [room, good, 2], [hotel, small, 0]]",1.0,2.0,,-0.25,0.7,,,,,
4622,angiefit2017,2022-11-01,PostCovid,4,,"[[room, small, 2], [room, overal, 2], [room, good, 2], [room, servic, 2], [room, standard, 2], [pool, nice, 3]]",,5.0,,,0.09,,1.0,,0.6,
4623,mikeleong182,2022-11-01,PostCovid,4,,"[[bed, nice, 3], [breakfast, good, 3], [pool, isol, 3], [staycat, next, 1]]",,,,,,,3.0,1.0,0.4333333333333333,0.0
4624,keychain772022,2022-11-01,PostCovid,4,,[],,,,,,,,,,
4625,kogie131,2022-10-01,PostCovid,4,,"[[staff, great, 1]]",,,,,,,,1.0,,0.8
4626,Micwa,2022-11-01,PostCovid,4,,"[[room, old, 2], [room, 'rather old', 2], [room, small, 2]]",,3.0,,,-0.016666666666666663,,,,,
4627,GlobeTrtrWnaB,2022-11-01,PostCovid,4,,"[[room, good, 2], [day, full, 4], [room, clean, 2], [room, left, 2], [room, 'right left', 2], [check, proper, 4], [check, full, 4], [room, dental, 2], [room, 'even pocket', 2]]",,6.0,3.0,,0.20158730158730157,0.2333333333333333,,,,
4628,Andorrah21,2022-11-01,PostCovid,4,,"[[night, later, 3]]",,,,,,,1.0,,0.0,
4629,eesmeyer,2022-11-01,PostCovid,4,,"[[staff, good, 1], [breakfast, good, 3], [day, good, 4], [day, everi, 4]]",,,2.0,,,0.35,1.0,1.0,0.7,0.7
4630,Bharat62,2022-11-01,PostCovid,4,,"[[hotel, good, 0], [breakfast, small, 3], [breakfast, clean, 3]]",1.0,,,0.7,,,2.0,,0.05833333333333335,
4631,kayllynch,2022-11-01,PostCovid,4,,"[[room, basic, 2], [pool, 'even work', 3], [hotel, first, 0]]",1.0,1.0,,0.25,0.0,,1.0,,0.0,
4632,CTravelsAus,2022-11-01,PostCovid,4,,"[[hotel, perfect, 0], [room, small, 2], [room, 'rather small', 2]]",1.0,2.0,,1.0,-0.25,,,,,
4633,kll,2022-11-01,PostCovid,4,3.0,"[[pool, poor, 3], [pool, qualiti, 3]]",,,,,,,2.0,,-0.2,
4634,Yong L,2022-11-01,PostCovid,4,,"[[staff, nice, 1]]",,,,,,,,1.0,,0.6
4635,Bucks62,2022-11-01,PostCovid,4,,"[[work, small, 2], [breakfast, enough, 3]]",,1.0,,,-0.25,,1.0,,0.0,
4636,koichihirose,2022-11-01,PostCovid,4,,[],,,,,,,,,,
4637,Stephen M,2022-11-01,PostCovid,4,,"[[enjoy, singapor, 1]]",,,,,,,,1.0,,0.4
4638,Tony V,2022-11-01,PostCovid,4,,"[[pool, nice, 3], [room, clean, 2], [staff, good, 1], [staff, servic, 1], [need, great, 2], [need, perfect, 2], [need, ideal, 2]]",,4.0,,,0.7666666666666667,,1.0,2.0,0.6,0.35
4639,Teagos06,2022-11-01,PostCovid,4,,"[[hotel, good, 0], [room, small, 2], [friendli, cheap, 1], [friendli, 'nice cheap', 1]]",1.0,1.0,,0.7,-0.25,,,2.0,,0.45
4640,stuartsmum,2022-10-01,PostCovid,4,,"[[stay, singapor, 1], [stay, short, 1], [room, singapor, 2]]",,1.0,,,0.0,,,2.0,,0.0
4641,Ian058,2022-10-01,PostCovid,4,,"[[stay, good, 1], [stay, short, 1], [day, small, 4], [day, last, 4], [time, enough, 1]]",,,2.0,,,-0.125,,3.0,,0.2333333333333333
4642,Queenie M,2022-10-01,PostCovid,4,,"[[room, nice, 2]]",,1.0,,,0.6,,,,,
4643,Simon C,2022-10-01,PostCovid,4,,"[[stay, great, 1], [stay, short, 1]]",,,,,,,,2.0,,0.4
4644,Jonathon H,2022-09-01,PostCovid,4,,"[[hotel, great, 0], [room, great, 2], [singapor, next, 0]]",2.0,1.0,,0.4,0.8,,,,,
4645,LeighBrisbane,2022-10-01,PostCovid,4,,[],,,,,,,,,,
4646,Christej_11,2022-10-01,PostCovid,4,,"[[day, anoth, 4], [book, extra, 4]]",,,2.0,,,0.0,,,,
4647,dimason333,2022-10-01,PostCovid,4,,"[[room, good, 2], [room, choic, 2]]",,2.0,,,0.35,,,,,
4648,jeffersonsim,2022-10-01,PostCovid,4,,[],,,,,,,,,,
4649,P H,2022-10-01,PostCovid,4,,"[[room, good, 2], [pool, small, 3], [pool, swim, 3], [room, cold, 2]]",,2.0,,,0.04999999999999999,,2.0,,-0.125,
4650,Beth K,2022-10-01,PostCovid,4,,"[[hotel, singapor, 0]]",1.0,,,0.0,,,,,,
4651,kaieocampo,2022-10-01,PostCovid,4,,"[[work, perfect, 2], [day, entir, 4], [room, open, 2]]",,2.0,1.0,,0.5,0.0,,,,
4652,wildcolours62,2022-10-01,PostCovid,4,,"[[pool, clean, 3], [pool, great, 3], [hotel, great, 0], [room, good, 2]]",1.0,1.0,,0.8,0.7,,2.0,,0.5833333333333334,
4653,Mimi L,2022-10-01,PostCovid,4,,"[[clean, nice, 0], [bed, nice, 3], [bed, quiet, 3]]",1.0,,,0.48333333333333334,,,2.0,,0.3,
4654,rpujola,2022-10-01,PostCovid,4,,"[[place, quiet, 0], [place, quiet, 0]]",2.0,,,0.0,,,,,,
4655,blackkasia,2022-10-01,PostCovid,4,,"[[room, 'later consid', 2], [room, good, 2], [room, good, 2], [hotel, small, 0], [hotel, overal, 0], [hotel, good, 0]]",3.0,3.0,,0.15,0.4666666666666666,,,,,
4656,andykmoey,2022-10-01,PostCovid,4,,"[[hotel, singapor, 0]]",1.0,,,0.0,,,,,,
4657,Rajini2210,2022-10-01,PostCovid,4,,"[[work, attitud, 2]]",,1.0,,,0.0,,,,,
4658,Merryn L,2022-10-01,PostCovid,4,,"[[bed, blind, 3], [staff, great, 1], [room, great, 2]]",,1.0,,,0.8,,1.0,1.0,-0.5,0.8
4659,Paradise66715039684,2022-10-01,PostCovid,4,,"[[walk, slow, 0], [day, singapor, 4]]",1.0,,1.0,-0.30000000000000004,,0.0,,,,
4660,johankinnula,2022-10-01,PostCovid,4,,"[[hotel, good, 0]]",1.0,,,0.7,,,,,,
4661,joycec13223,2022-09-01,PostCovid,4,,[],,,,,,,,,,
4662,Tim G,2022-10-01,PostCovid,4,,"[[floor, third, 2]]",,1.0,,,0.0,,,,,
4663,MSPMLONDON,2022-09-01,PostCovid,4,,"[[book, free, 4], [book, direct, 4]]",,,2.0,,,0.25,,,,
4664,sanjeev s,2022-10-01,PostCovid,4,,[],,,,,,,,,,
4665,Carl N,2022-09-01,PostCovid,4,,"[[food, hot, 0], [day, fresh, 4], [day, select, 4], [use, pleasant, 4], [room, clean, 2], [day, late, 4], [floor, third, 2]]",1.0,2.0,4.0,0.25,0.18333333333333335,0.1833333333333333,,,,
4666,Thegalivants,2022-09-01,PostCovid,4,,"[[staff, clean, 1], [day, last, 4], [food, 'discov agreat', 0]]",1.0,,1.0,0.0,,0.0,,1.0,,0.3666666666666667
4667,Travel 2021,2022-09-01,PostCovid,4,,"[[hotel, good, 0], [food, close, 0], [food, 'central close', 0]]",3.0,,,0.2333333333333333,,,,,,
4668,maerebebes,2022-09-01,PostCovid,4,,"[[day, last, 4]]",,,1.0,,,0.0,,,,
4669,kathysiuky,2022-09-01,PostCovid,4,,[],,,,,,,,,,
4670,hweepengtan,2022-09-01,PostCovid,4,,"[[pool, swim, 3]]",,,,,,,1.0,,0.0,
4671,Joliene T,2022-09-01,PostCovid,4,,"[[room, short, 2], [bathroom, good, 2], [bathroom, great, 2], [bathroom, small, 2], [room, much, 2], [hotel, quick, 0], [hotel, easi, 0], [use, close, 4]]",2.0,5.0,1.0,0.16666666666666666,0.29,0.0,,,,
4672,Guide7778022,2022-09-01,PostCovid,4,,"[[bathroom, nice, 2], [bathroom, top, 2]]",,2.0,,,0.55,,,,,
4673,JayanUnni,2022-09-01,PostCovid,4,,[],,,,,,,,,,
4674,ghart686,2022-09-01,PostCovid,4,,"[[food, good, 0], [food, clean, 0], [food, good, 0], [bed, good, 3], [bed, nice, 3]]",3.0,,,0.5888888888888889,,,2.0,,0.6499999999999999,
4675,Avi Shah,2022-09-01,PostCovid,4,,"[[room, alloc, 2]]",,1.0,,,0.0,,,,,
4676,147antoinette,2022-09-01,PostCovid,4,,"[[pool, basic, 3], [pool, quiet, 3], [pool, swim, 3], [day, great, 4], [day, hot, 4]]",,,2.0,,,0.525,3.0,,0.0,
4677,lynleypt2800,2022-09-01,PostCovid,4,,"[[walk, short, 0], [room, nice, 2], [room, 'well nice', 2], [pool, great, 3]]",1.0,2.0,,0.0,0.6,,1.0,,0.8,
4678,Grahame W,2022-09-01,PostCovid,4,,"[[floor, cleaner, 2]]",,1.0,,,0.0,,,,,
4679,nbose2022,2022-09-01,PostCovid,4,,"[[hotel, great, 0]]",1.0,,,0.8,,,,,,
4680,sammyx0x0,2022-09-01,PostCovid,4,,"[[staff, great, 1], [staff, great, 1]]",,,,,,,,2.0,,0.8
4681,ukonig970362,2022-09-01,PostCovid,4,,"[[pool, dark, 3], [time, next, 1]]",,,,,,,1.0,1.0,-0.15,0.0
4682,MackMelbourne,2022-09-01,PostCovid,4,,"[[hotel, quiet, 0], [room, quiet, 2], [pool, nice, 3]]",1.0,1.0,,0.0,0.0,,1.0,,0.6,
4683,AandE1969,2022-09-01,PostCovid,4,3.0,"[[hotel, singapor, 0], [help, great, 1], [room, due, 2], [good, compact, 0]]",2.0,1.0,,0.35,-0.125,,,1.0,,0.8
4684,mmccon580997,2022-09-01,PostCovid,4,,"[[bed, servic, 3], [room, great, 2], [room, main, 2], [room, main, 2], [room, main, 2]]",,4.0,,,0.325,,1.0,,0.0,
4685,JLC0508,2022-09-01,PostCovid,4,,"[[room, good, 2], [room, good, 2], [room, clean, 2]]",,3.0,,,0.5888888888888889,,,,,
4686,EvergreenTerrace,2022-08-01,PostCovid,4,,"[[place, great, 0], [pool, great, 3], [room, good, 2], [room, stylish, 2], [bathroom, open, 2]]",1.0,3.0,,0.8,0.39999999999999997,,1.0,,0.8,
4687,rlewis441684,2022-09-01,PostCovid,4,,"[[hotel, great, 0], [staff, clean, 1], [staff, nice, 1], [servic, good, 1]]",1.0,,,0.8,,,,3.0,,0.5555555555555555
4688,sebwurtz,2022-09-01,PostCovid,4,,"[[time, good, 1]]",,,,,,,,1.0,,0.7
4689,Judi-oz,2022-09-01,PostCovid,4,,"[[bed, twin, 3], [room, extra, 2], [day, next, 4], [day, next, 4], [room, fit, 2], [room, servic, 2], [day, next, 4], [howev, big, 2], [hotel, better, 0], [hotel, standard, 0]]",2.0,4.0,3.0,0.25,0.1,0.0,1.0,,0.0,
4690,Ker-Chia N,2022-09-01,PostCovid,4,,"[[floor, soft, 2]]",,1.0,,,0.1,,,,,
4691,andremanhaes,2022-09-01,PostCovid,4,,"[[time, poor, 1]]",,,,,,,,1.0,,-0.4
4692,morganspire,2022-09-01,PostCovid,4,,"[[staff, good, 1], [staff, nice, 1], [room, good, 2]]",,1.0,,,0.7,,,2.0,,0.6499999999999999
4693,jacquipast,2022-09-01,PostCovid,4,,[],,,,,,,,,,
4694,Hepatacyte,2022-09-01,PostCovid,4,,"[[room, small, 2], [room, small, 2], [friendli, poor, 1]]",,2.0,,,-0.25,,,1.0,,-0.4
4695,Alexie B,2022-09-01,PostCovid,4,,[],,,,,,,,,,
4696,xma89trhx7,2022-09-01,PostCovid,4,,"[[room, small, 2], [day, last, 4], [pool, nice, 3]]",,1.0,1.0,,-0.25,0.0,1.0,,0.6,
4697,Pippononlosa,2022-09-01,PostCovid,4,,"[[room, good, 2], [pool, fair, 3]]",,1.0,,,0.7,,1.0,,0.7,
4698,flyingsanghee,2022-09-01,PostCovid,4,,"[[one, good, 2], [night, late, 3]]",,1.0,,,0.7,,1.0,,-0.3,
4699,Batts65,2022-09-01,PostCovid,4,,"[[day, full, 4]]",,,1.0,,,0.35,,,,
4700,rs6f48y1g9q0l137a4,2022-09-01,PostCovid,4,,"[[hotel, best, 0]]",1.0,,,1.0,,,,,,
4701,pseppi95,2022-09-01,PostCovid,4,,"[[stay, great, 1], [room, frequent, 2]]",,1.0,,,0.1,,,1.0,,0.8
4702,tbruec424960,2022-09-01,PostCovid,4,,"[[staff, nice, 1]]",,,,,,,,1.0,,0.6
4703,Amber W,2022-09-01,PostCovid,4,,[],,,,,,,,,,
4704,RTKillarney,2022-09-01,PostCovid,4,,"[[staff, great, 1], [staff, clean, 1], [staff, quiet, 1], [staff, great, 1]]",,,,,,,,4.0,,0.4916666666666667
4705,stevejH9643NN,2022-09-01,PostCovid,4,,"[[stay, great, 1], [stay, choic, 1], [stay, short, 1], [friendli, hous, 1], [day, next, 4], [room, final, 2]]",,1.0,1.0,,0.0,0.0,,4.0,,0.2
4706,xlaurzx,2022-09-01,PostCovid,4,,"[[singapor, good, 0], [room, twin, 2]]",1.0,1.0,,0.7,0.0,,,,,
4707,sramas399477,2022-09-01,PostCovid,4,,"[[night, whole, 3]]",,,,,,,1.0,,0.2,
4708,wwispe328303,2022-09-01,PostCovid,4,,"[[staff, nice, 1], [staff, clean, 1]]",,,,,,,,2.0,,0.48333333333333334
4709,Figaro T,2022-09-01,PostCovid,4,,"[[day, longer, 4], [time, next, 1]]",,,1.0,,,0.0,,1.0,,0.0
4710,Julie S,2022-08-01,PostCovid,4,,"[[room, choic, 2], [day, longer, 4]]",,1.0,1.0,,0.0,0.0,,,,
4711,andreasP4577VQ,2022-08-01,PostCovid,4,,"[[day, hard, 4], [day, long, 4]]",,,2.0,,,-0.17083333333333334,,,,
4712,Cecile G,2022-08-01,PostCovid,4,,"[[friendli, nice, 1], [friendli, nice, 1]]",,,,,,,,2.0,,0.6
4713,tydemiroz,2022-08-01,PostCovid,4,,[],,,,,,,,,,
4714,taffh2016,2022-08-01,PostCovid,4,,[],,,,,,,,,,
4715,Weiyun,2022-09-01,PostCovid,4,,"[[stay, great, 1], [staff, great, 1]]",,,,,,,,2.0,,0.8
4716,cloud2022,2022-08-01,PostCovid,4,,"[[hotel, front, 0], [hotel, central, 0]]",2.0,,,0.0,,,,,,
4717,gechevarria2022,2022-08-01,PostCovid,4,,"[[check, clear, 4]]",,,1.0,,,0.10000000000000002,,,,
4718,700glen,2022-08-01,PostCovid,4,,"[[restaur, close, 0], [room, small, 2]]",1.0,1.0,,0.0,-0.25,,,,,
4719,jrober467448,2022-08-01,PostCovid,4,,"[[room, great, 2]]",,1.0,,,0.8,,,,,
4720,mijmap,2022-08-01,PostCovid,4,5.0,"[[pool, next, 3], [staff, live, 1], [room, good, 2], [room, clean, 2], [pool, next, 3]]",,2.0,,,0.5333333333333333,,2.0,1.0,0.0,0.13636363636363635
4721,Noorul J R,2022-08-01,PostCovid,4,,"[[room, neighbour, 2], [night, good, 3]]",,1.0,,,0.0,,1.0,,0.7,
4722,Leanne0820222,2022-08-01,PostCovid,4,,"[[check, small, 4]]",,,1.0,,,-0.25,,,,
4723,ar15to,2022-08-01,PostCovid,4,,"[[hotel, orchard, 0], [time, long, 1], [comfort, less, 3]]",1.0,,,0.0,,,1.0,1.0,-0.16666666666666666,-0.05
4724,163figo,2022-08-01,PostCovid,4,,"[[night, 'also throw', 3], [hotel, live, 0]]",1.0,,,0.13636363636363635,,,1.0,,0.0,
4725,Small05,2022-08-01,PostCovid,4,,"[[stay, short, 1], [floor, higher, 2]]",,1.0,,,0.25,,,1.0,,0.0
4726,Shila,2022-08-01,PostCovid,4,,"[[room, clean, 2], [room, experi, 2], [room, good, 2], [pool, clean, 3], [breakfast, nice, 3], [help, alway, 1]]",,3.0,,,0.35555555555555557,,2.0,1.0,0.48333333333333334,0.0
4727,Kim O,2022-08-01,PostCovid,4,,"[[bathroom, front, 2], [stay, special, 1]]",,1.0,,,0.0,,,1.0,,0.35714285714285715
4728,stanleyye0,2022-08-01,PostCovid,4,,"[[room, clean, 2], [pool, big, 3], [pool, enough, 3], [pool, good, 3], [pool, swim, 3], [staff, nice, 1]]",,1.0,,,0.3666666666666667,,4.0,1.0,0.175,0.6
4729,Daydream827970,2022-08-01,PostCovid,4,,"[[use, overal, 4], [use, good, 4], [use, usual, 4], [book, full, 4], [room, modern, 2], [room, light, 2], [staff, close, 1]]",,2.0,4.0,,0.30000000000000004,0.19999999999999998,,1.0,,0.0
4730,ovega353016,2022-08-01,PostCovid,4,,"[[room, good, 2], [room, enough, 2], [staff, final, 1], [room, new, 2], [staff, nice, 1]]",,3.0,,,0.27878787878787875,,,2.0,,0.3
4731,Happiness420112,2022-08-01,PostCovid,4,,"[[book, great, 4]]",,,1.0,,,0.8,,,,
4732,captskg2010,2022-08-01,PostCovid,4,,[],,,,,,,,,,
4733,rbroek324607,2022-08-01,PostCovid,4,,"[[room, super, 2], [pool, nice, 3]]",,1.0,,,0.3333333333333333,,1.0,,0.6,
4734,Lesley A,2022-08-01,PostCovid,4,,"[[help, super, 1], [room, disturb, 2]]",,1.0,,,0.0,,,1.0,,0.3333333333333333
4735,Tan-Penang,2022-08-01,PostCovid,4,,"[[book, singapor, 4], [bed, singl, 3], [breakfast, minor, 3]]",,,1.0,,,0.0,2.0,,-0.025,
4736,Ratna S,2022-08-01,PostCovid,4,,"[[room, decent, 2], [room, hot, 2], [time, sever, 1]]",,2.0,,,0.20833333333333331,,,1.0,,0.0
4737,chanso578075,2022-08-01,PostCovid,4,,"[[hotel, good, 0], [hotel, good, 0]]",2.0,,,0.7,,,,,,
4738,suehyeonkim,2022-08-01,PostCovid,4,,[],,,,,,,,,,
4739,gooyoun,2022-08-01,PostCovid,4,,"[[conveni, clean, 3], [staff, good, 1], [time, next, 1]]",,,,,,,1.0,2.0,0.3666666666666667,0.35
4740,Sunshine42231413679,2022-08-01,PostCovid,4,,"[[hotel, neat, 0], [howev, 'well appoint', 2], [room, luggag, 2]]",1.0,2.0,,0.0,0.0,,,,,
4741,lett897,2022-08-01,PostCovid,4,,[],,,,,,,,,,
4742,itd-be-rude-not-to,2022-08-01,PostCovid,4,,[],,,,,,,,,,
4743,Drewmolloy,2022-08-01,PostCovid,4,,[],,,,,,,,,,
4744,Stel H,2022-08-01,PostCovid,4,4.0,[],,,,,,,,,,
4745,Santosh K,2022-07-01,PostCovid,4,,"[[breakfast, good, 3], [stay, overal, 1], [stay, good, 1]]",,,,,,,1.0,2.0,0.7,0.35
4746,kieranmmurphy,2022-08-01,PostCovid,4,,"[[pool, poor, 3]]",,,,,,,1.0,,-0.4,
4747,mhughe519687,2022-07-01,PostCovid,4,,"[[room, cheap, 2]]",,1.0,,,0.4,,,,,
4748,cmuehl748288,2022-07-01,PostCovid,4,,"[[place, nice, 0], [place, 'satisfi nice', 0], [staff, good, 1], [friendli, easi, 1]]",2.0,,,0.6,,,,2.0,,0.35
4749,ConstanceLWoon,2022-07-01,PostCovid,4,,"[[stay, nice, 1], [stay, short, 1]]",,,,,,,,2.0,,0.3
4750,tjoatt,2022-07-01,PostCovid,4,,"[[staff, servic, 1], [floor, unfortun, 2], [check, enough, 4], [check, 'fast enough', 4]]",,1.0,2.0,,0.0,0.05,,1.0,,0.0
4751,ssavag719969,2022-07-01,PostCovid,4,,"[[room, good, 2], [room, great, 2]]",,2.0,,,0.75,,,,,
4752,YuriAndrey,2022-07-01,PostCovid,4,,"[[room, clean, 2]]",,1.0,,,0.3666666666666667,,,,,
4753,Andrew J,2022-07-01,PostCovid,4,,"[[bathroom, ideal, 2], [bathroom, open, 2]]",,2.0,,,0.45,,,,,
4754,gsharma30,2022-07-01,PostCovid,4,,"[[breakfast, servic, 3]]",,,,,,,1.0,,0.0,
4755,Utham,2022-07-01,PostCovid,4,3.0,"[[restaur, servic, 0], [restaur, good, 0], [hotel, singapor, 0], [hotel, great, 0]]",4.0,,,0.375,,,,,,
4756,jbetle463594,2022-07-01,PostCovid,4,,"[[hotel, nice, 0], [hotel, 'longer nice', 0]]",2.0,,,0.6,,,,,,
4757,emccartin2022,2022-07-01,PostCovid,4,,"[[hotel, good, 0], [staff, great, 1]]",1.0,,,0.7,,,,1.0,,0.8
4758,RusscathyDubai,2022-07-01,PostCovid,4,,"[[room, close, 2], [bed, clean, 3], [stay, pleasant, 1], [place, recommend, 0], [place, great, 0]]",2.0,1.0,,0.4,0.0,,1.0,1.0,0.3666666666666667,0.7333333333333333
4759,Eaa2128,2022-06-01,PostCovid,4,,"[[room, decent, 2], [stay, bad, 1]]",,1.0,,,0.16666666666666666,,,1.0,,-0.6999999999999998
4760,Ariepra,2022-07-01,PostCovid,4,,"[[hotel, nice, 0], [room, nice, 2]]",1.0,1.0,,0.6,0.6,,,,,
4761,Geri,2022-07-01,PostCovid,4,,"[[love, great, 1], [night, great, 3], [floor, fourth, 2]]",,1.0,,,0.0,,1.0,1.0,0.8,0.65
4762,ddiss103622,2022-07-01,PostCovid,4,,"[[room, singapor, 2], [room, close, 2], [breakfast, good, 3], [shop, close, 0]]",1.0,2.0,,0.0,0.0,,1.0,,0.7,
4763,Roam33362983257,2022-07-01,PostCovid,4,,[],,,,,,,,,,
4764,Bharath,2022-07-01,PostCovid,4,,"[[breakfast, good, 3]]",,,,,,,1.0,,0.7,
4765,michelleyip2022,2022-07-01,PostCovid,4,,"[[staff, nice, 1], [staff, front, 1], [room, poor, 2]]",,1.0,,,-0.4,,,2.0,,0.3
4766,shelley m,2022-07-01,PostCovid,4,,"[[night, extra, 3], [check, earli, 4], [room, alloc, 2]]",,1.0,1.0,,0.0,0.0,1.0,,0.0,
4767,rpassm105362,2022-07-01,PostCovid,4,,"[[room, slow, 2]]",,1.0,,,-0.30000000000000004,,,,,
4768,28JuliusW28,2022-06-01,PostCovid,4,,"[[hotel, nice, 0]]",1.0,,,0.6,,,,,,
4769,Christian C,2022-07-01,PostCovid,4,,"[[hotel, good, 0], [hotel, bad, 0]]",2.0,,,5.551115123125783e-17,,,,,,
4770,drheckmartin,2022-07-01,PostCovid,4,,"[[time, good, 1], [time, choic, 1]]",,,,,,,,2.0,,0.35
4771,olivierdeclementi,2022-07-01,PostCovid,4,,[],,,,,,,,,,
4772,Madan R,2022-06-01,PostCovid,4,,"[[hotel, central, 0]]",1.0,,,0.0,,,,,,
4773,yub0ng,2022-07-01,PostCovid,4,,"[[room, good, 2], [bed, clean, 3], [night, first, 3], [place, everi, 0]]",1.0,1.0,,0.0,0.7,,2.0,,0.30833333333333335,
4774,Michelle,2022-06-01,PostCovid,4,,"[[stay, strong, 1], [staff, enough, 1], [staff, 'alway enough', 1]]",,,,,,,,3.0,,0.14444444444444443
4775,gobrie691405,2022-06-01,PostCovid,4,,"[[room, poor, 2], [breakfast, servic, 3], [pool, good, 3], [pool, attract, 3], [pool, 'close attract', 3], [staff, small, 1]]",,1.0,,,-0.4,,4.0,1.0,0.175,-0.25
4776,JeethSM,2022-06-01,PostCovid,4,,"[[room, great, 2], [room, decent, 2], [staff, poor, 1], [locat, great, 0]]",1.0,2.0,,0.8,0.48333333333333334,,,1.0,,-0.4
4777,lmcleo382175,2022-06-01,PostCovid,4,,"[[good, great, 0], [room, small, 2], [room, clean, 2], [shower, good, 2], [restaur, good, 0]]",2.0,3.0,,0.725,0.2722222222222222,,,,,
4778,jcturner2022,2022-06-01,PostCovid,4,,"[[breakfast, servic, 3]]",,,,,,,1.0,,0.0,
4779,522gilbert,2022-06-01,PostCovid,4,,"[[staff, clean, 1]]",,,,,,,,1.0,,0.3666666666666667
4780,lynetteslk,2022-06-01,PostCovid,4,,"[[room, overal, 2], [room, whole, 2]]",,2.0,,,0.1,,,,,
4781,jquayl499338,2022-06-01,PostCovid,4,,[],,,,,,,,,,
4782,Andrew G,2022-06-01,PostCovid,4,,"[[food, close, 0], [place, great, 0]]",2.0,,,0.4,,,,,,
4783,JHAA07,2022-06-01,PostCovid,4,,"[[stay, good, 1], [breakfast, great, 3], [breakfast, 'fast great', 3], [breakfast, nice, 3], [room, soft, 2], [pool, direct, 3], [day, closer, 4]]",,1.0,1.0,,0.1,0.0,4.0,1.0,0.5,0.7
4784,R&J,2022-06-01,PostCovid,4,,"[[room, good, 2]]",,1.0,,,0.7,,,,,
4785,tseyer691306,2022-06-01,PostCovid,4,,"[[staff, safe, 1]]",,,,,,,,1.0,,0.5
4786,old_japanese,2022-06-01,PostCovid,4,,[],,,,,,,,,,
4787,FaithTan,2022-06-01,PostCovid,4,,"[[room, super, 2]]",,1.0,,,0.3333333333333333,,,,,
4788,trixiamaecmendoza,2022-06-01,PostCovid,4,,"[[bed, great, 3]]",,,,,,,1.0,,0.8,
4789,Coco,2022-06-01,PostCovid,4,,"[[room, small, 2], [bed, cube, 3], [book, 'ever care', 4], [hotel, worst, 0], [hotel, 'far worst', 0]]",2.0,1.0,1.0,-0.725,-0.25,0.0,1.0,,0.0,
4790,241alex2022,2022-06-01,PostCovid,4,,"[[time, first, 1], [pool, bottom, 3]]",,,,,,,1.0,1.0,0.0,0.25
4791,ceciliak919,2022-06-01,PostCovid,4,,"[[stay, great, 1]]",,,,,,,,1.0,,0.8
4792,abiere829182,2022-05-01,PostCovid,4,,"[[room, nice, 2]]",,1.0,,,0.6,,,,,
4793,covina7,2022-06-01,PostCovid,4,,"[[room, great, 2], [help, polit, 1], [place, great, 0]]",1.0,1.0,,0.8,0.8,,,1.0,,0.0
4794,Peakster2014,2022-05-01,PostCovid,4,,"[[hotel, good, 0], [room, small, 2]]",1.0,1.0,,0.7,-0.25,,,,,
4795,Makuks,2022-05-01,PostCovid,4,,"[[staff, neat, 1]]",,,,,,,,1.0,,0.0
4796,hkilsun,2022-05-01,PostCovid,4,,"[[time, poor, 1], [time, next, 1], [room, cool, 2], [time, long, 1]]",,1.0,,,0.35,,,3.0,,-0.15
4797,Navigator771764,2022-05-01,PostCovid,4,,"[[place, worth, 0]]",1.0,,,0.3,,,,,,
4798,Craig P,2022-05-01,PostCovid,4,,"[[hotel, central, 0], [time, first, 1]]",1.0,,,0.0,,,,1.0,,0.25
