,traveller_username,date,covid,star,rating,aspect_sentiment,count_topic_1,count_topic_0,count_topic_3,topic_1,topic_0,topic_3,count_topic_2,topic_2,count_topic_4,topic_4
37,MalaysiaMinky,2022-11-01,PostCovid,3,5.0,"[[staff, new, 1], [day, next, 2], [use, smart, 3], [call, unlimit, 3], [call, local, 3]]",1.0,,3.0,0.13636363636363635,,0.07142857142857142,1.0,0.0,,
38,Sachin B,2022-11-01,PostCovid,3,1.0,[],,,,,,,,,,
39,travelmoreBrisbane,2022-10-01,PostCovid,3,4.0,"[[stay, singapor, 1], [friendli, special, 1], [book, annoy, 2], [flight, overnight, 3], [breakfast, unfortun, 4]]",2.0,,1.0,0.17857142857142858,,0.0,1.0,0.0,1.0,0.0
40,MU67,2022-10-01,PostCovid,3,4.0,"[[hotel, good, 1], [hotel, nice, 1], [staff, good, 1], [room, nice, 0], [size, good, 0]]",3.0,2.0,,0.6666666666666666,0.6499999999999999,,,,,
41,rciccan,2022-09-01,PostCovid,3,4.0,"[[time, next, 2]]",,,,,,,1.0,0.0,,
42,Devid Sophornprak,2022-10-01,PostCovid,3,2.0,"[[walk, good, 4]]",,,,,,,,,1.0,0.7
43,Parthasarathy R,2022-10-01,PostCovid,3,4.0,"[[stay, short, 1], [size, small, 0], [stay, great, 1]]",2.0,1.0,,0.4,-0.25,,,,,
44,AngelaMathew,2022-06-01,PostCovid,3,4.0,"[[place, good, 1]]",1.0,,,0.7,,,,,,
45,Adrian P,2022-07-01,PostCovid,3,4.0,"[[room, reliabl, 0], [room, great, 0], [help, 'well design', 1]]",1.0,2.0,,0.0,0.4,,,,,
46,Andy123_GM,2022-09-01,PostCovid,3,5.0,"[[place, eateri, 1], [room, easi, 0]]",1.0,1.0,,0.0,0.0,,,,,
47,David G,2022-08-01,PostCovid,3,5.0,"[[stay, great, 1], [stay, servic, 1], [room, good, 0], [size, good, 0], [day, choic, 2], [day, clean, 2], [stay, great, 1]]",3.0,2.0,,0.5333333333333333,0.7,,2.0,0.18333333333333335,,
48,Jayanthi G,2022-08-01,PostCovid,3,4.0,"[[stay, singapor, 1]]",1.0,,,0.0,,,,,,
49,srain c,2022-08-01,PostCovid,3,3.0,"[[call, low, 3], [room, nice, 0], [room, nice, 0], [room, servic, 0]]",,3.0,1.0,,0.39999999999999997,0.0,,,,
50,watoow,2022-08-01,PostCovid,3,5.0,"[[time, second, 2], [room, 'also tea', 0], [room, coffe, 0]]",,2.0,,,0.0,,1.0,0.0,,
51,Helmut B,2022-08-01,PostCovid,3,5.0,"[[hotel, servic, 1], [clean, singapor, 1]]",2.0,,,0.18333333333333335,,,,,,
52,Relax497565,2022-07-01,PostCovid,3,4.0,[],,,,,,,,,,
